Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Type,Category
Montreal AI Day,04/02/2026,09:00 AM,04/02/2026,05:00 PM,False,"Full-day hands-on AI workshop for practitioners in Montreal. Learn to build, deploy and scale AI applications on Databricks.",https://events.databricks.com/fy27-ai-days-montreal,In-Person,AI Day
"Lakeflow: Declarative Pipelines & Connect",04/02/2026,02:00 PM,04/02/2026,03:30 PM,False,"Join this workshop to get hands-on guidance using Delta Live Tables to build your next simple, scalable and production-ready pipeline. We'll demonstrate the built-in orchestration framework capabilities that allow you to build production-quality data pipelines in half the time with no janitor code. Duration: 1.5 hrs.",https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-DeltaLiveTables,Virtual,Data Engineering
Unified Governance with Unity Catalog,04/03/2026,02:00 PM,04/03/2026,03:30 PM,False,Using Unity Catalog you'll learn how it can work with your existing data catalogs and storage solutions to build a future-proof governance model. We will demonstrate the changes that come with UC and how you can upgrade your tables to include these benefits. Duration: 1.5 hrs.,https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-UnifiedGovernancewithUC,Virtual,Governance
End-to-End AI on Databricks,04/07/2026,02:00 PM,04/07/2026,03:30 PM,False,"Walk through an end-to-end AI agent solution on Databricks. Build AI Agents with foundation LLMs, RAG, Vector Search, and PDF extraction using Unity Catalog functions, LangChain, and Databricks' built-in ai_parse_document function. Deploy real-time Q&A chatbots, evaluate agents with Mosaic AI Agent Evaluation and MLflow 3.0, and monitor live production behavior. Presenters: Rupal Gupta (Sr. Solutions Engineer) and Bhagyarshri Badgujar (Solutions Architect). Duration: 1.5 hrs.",https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-End-to-EndAI,Virtual,Machine Learning
Intro to Databricks,04/08/2026,02:00 PM,04/08/2026,03:30 PM,False,Intro to Databricks is designed for users who are completely new to the platform or have only minimal experience. This workshop will give you an introductory tour of the platform and show you how it can simplify and accelerate your data projects. Duration: 1.5 hrs.,https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-IntrotoLakehouseandDelta,Virtual,Getting Started
Boston AI Day,04/09/2026,09:00 AM,04/09/2026,05:00 PM,False,"Full-day hands-on AI workshop for practitioners in Boston. Learn to build, deploy and scale AI applications on Databricks.",https://events.databricks.com/FY27-AI-Days-Boston,In-Person,AI Day
"Lakebase: Serverless Postgres Database",04/10/2026,02:00 PM,04/10/2026,03:30 PM,False,"Lakebase is a fully managed, serverless, scalable, and resilient Postgres database that offers low-latency reads and writes, unlocking operational and transactional use cases for Databricks customers. Duration: 1.5 hrs.",https://events.databricks.com/FY26-EV-AEB-Hands-onWorkshop-DeltainProduction,Virtual,Databases
Databricks Apps,04/13/2026,02:00 PM,04/13/2026,03:30 PM,False,"This workshop will guide participants through the core concepts of Databricks Apps, hands-on development with familiar frameworks, and best practices for deploying governed, production-ready applications—so your apps can run where your data and AI already live. Duration: 1.5 hrs.",https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-DatabricksApps,Virtual,Development
Databricks SQL and Serverless,04/14/2026,02:00 PM,04/14/2026,03:30 PM,False,Join this workshop to get hands-on guidance for semi-structured data delivery at scale for downstream analytical consumption via Databricks SQL. We will demonstrate how to architect JSON pipelines and then show you how to explore and visualize semi-structured data with Databricks SQL. Duration: 1.5 hrs.,https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-SQLandDelta,Virtual,SQL & Analytics
Calgary AI Day,04/15/2026,09:00 AM,04/15/2026,05:00 PM,False,"Full-day hands-on AI workshop for practitioners in Calgary. Learn to build, deploy and scale AI applications on Databricks.",https://events.databricks.com/FY27-AI-Days-Calgary,In-Person,AI Day
Production-Ready Agents on Databricks,04/15/2026,02:00 PM,04/15/2026,04:00 PM,False,"In this workshop, we will explore how your organization can leverage the Mosaic AI Agent Framework and Platform to bring high-quality and scalable Gen AI applications into production. We will cover Generative AI offerings on Databricks with a focus on putting systems into production. Duration: 2 hrs.",https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-GenerativeAI,Virtual,Generative AI
"Lakeflow: Declarative Pipelines & Connect",04/16/2026,02:00 PM,04/16/2026,03:30 PM,False,"Join this workshop to get hands-on guidance using Delta Live Tables to build your next simple, scalable and production-ready pipeline. We'll demonstrate the built-in orchestration framework capabilities that allow you to build production-quality data pipelines in half the time with no janitor code. Duration: 1.5 hrs.",https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-DeltaLiveTables,Virtual,Data Engineering
Unified Governance with Unity Catalog,04/17/2026,02:00 PM,04/17/2026,03:30 PM,False,Using Unity Catalog you'll learn how it can work with your existing data catalogs and storage solutions to build a future-proof governance model. We will demonstrate the changes that come with UC and how you can upgrade your tables to include these benefits. Duration: 1.5 hrs.,https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-UnifiedGovernancewithUC,Virtual,Governance
End-to-End AI on Databricks,04/21/2026,02:00 PM,04/21/2026,03:30 PM,False,"Walk through an end-to-end AI agent solution on Databricks. Build AI Agents with foundation LLMs, RAG, Vector Search, and PDF extraction using Unity Catalog functions, LangChain, and Databricks' built-in ai_parse_document function. Deploy real-time Q&A chatbots, evaluate agents with Mosaic AI Agent Evaluation and MLflow 3.0, and monitor live production behavior. Presenters: Rupal Gupta (Sr. Solutions Engineer) and Bhagyarshri Badgujar (Solutions Architect). Duration: 1.5 hrs.",https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-End-to-EndAI,Virtual,Machine Learning
St. Louis AI Day,04/22/2026,09:00 AM,04/22/2026,05:00 PM,False,"Full-day hands-on AI workshop for practitioners in St. Louis. Learn to build, deploy and scale AI applications on Databricks.",https://events.databricks.com/FY27-AI-Days-StLouis,In-Person,AI Day
Intro to Databricks,04/22/2026,02:00 PM,04/22/2026,03:30 PM,False,Intro to Databricks is designed for users who are completely new to the platform or have only minimal experience. This workshop will give you an introductory tour of the platform and show you how it can simplify and accelerate your data projects. Duration: 1.5 hrs.,https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-IntrotoLakehouseandDelta,Virtual,Getting Started
"Lakebase: Serverless Postgres Database",04/24/2026,02:00 PM,04/24/2026,03:30 PM,False,"Lakebase is a fully managed, serverless, scalable, and resilient Postgres database that offers low-latency reads and writes, unlocking operational and transactional use cases for Databricks customers. Duration: 1.5 hrs.",https://events.databricks.com/FY26-EV-AEB-Hands-onWorkshop-DeltainProduction,Virtual,Databases
Databricks Apps,04/27/2026,02:00 PM,04/27/2026,03:30 PM,False,"This workshop will guide participants through the core concepts of Databricks Apps, hands-on development with familiar frameworks, and best practices for deploying governed, production-ready applications—so your apps can run where your data and AI already live. Duration: 1.5 hrs.",https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-DatabricksApps,Virtual,Development
Databricks SQL and Serverless,04/28/2026,02:00 PM,04/28/2026,03:30 PM,False,Join this workshop to get hands-on guidance for semi-structured data delivery at scale for downstream analytical consumption via Databricks SQL. We will demonstrate how to architect JSON pipelines and then show you how to explore and visualize semi-structured data with Databricks SQL. Duration: 1.5 hrs.,https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-SQLandDelta,Virtual,SQL & Analytics
Production-Ready Agents on Databricks,04/29/2026,02:00 PM,04/29/2026,04:00 PM,False,"In this workshop, we will explore how your organization can leverage the Mosaic AI Agent Framework and Platform to bring high-quality and scalable Gen AI applications into production. We will cover Generative AI offerings on Databricks with a focus on putting systems into production. Duration: 2 hrs.",https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-GenerativeAI,Virtual,Generative AI
"Lakeflow: Declarative Pipelines & Connect",04/30/2026,02:00 PM,04/30/2026,03:30 PM,False,"Join this workshop to get hands-on guidance using Delta Live Tables to build your next simple, scalable and production-ready pipeline. We'll demonstrate the built-in orchestration framework capabilities that allow you to build production-quality data pipelines in half the time with no janitor code. Duration: 1.5 hrs.",https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-DeltaLiveTables,Virtual,Data Engineering
Databricks Apps,05/11/2026,02:00 PM,05/11/2026,03:30 PM,False,"This workshop will guide participants through the core concepts of Databricks Apps, hands-on development with familiar frameworks, and best practices for deploying governed, production-ready applications—so your apps can run where your data and AI already live. Duration: 1.5 hrs.",https://events.databricks.com/FY260527-TR-EmbeddedAnalyticswithDatabricksAIBI,Virtual,Development
Unified Governance with Unity Catalog,05/15/2026,02:00 PM,05/15/2026,03:30 PM,False,Using Unity Catalog you'll learn how it can work with your existing data catalogs and storage solutions to build a future-proof governance model. We will demonstrate the changes that come with UC and how you can upgrade your tables to include these benefits. Duration: 1.5 hrs.,https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-UnifiedGovernancewithUC,Virtual,Governance
End-to-End AI on Databricks,05/19/2026,02:00 PM,05/19/2026,03:30 PM,False,"Walk through an end-to-end AI agent solution on Databricks. Build AI Agents with foundation LLMs, RAG, Vector Search, and PDF extraction using Unity Catalog functions, LangChain, and Databricks' built-in ai_parse_document function. Deploy real-time Q&A chatbots, evaluate agents with Mosaic AI Agent Evaluation and MLflow 3.0, and monitor live production behavior. Presenters: Rupal Gupta (Sr. Solutions Engineer) and Bhagyarshri Badgujar (Solutions Architect). Duration: 1.5 hrs.",https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-End-to-EndAI,Virtual,Machine Learning
"Lakebase: Serverless Postgres Database",05/22/2026,02:00 PM,05/22/2026,03:30 PM,False,"Lakebase is a fully managed, serverless, scalable, and resilient Postgres database that offers low-latency reads and writes, unlocking operational and transactional use cases for Databricks customers. Duration: 1.5 hrs.",https://events.databricks.com/FY26-EV-AEB-Hands-onWorkshop-DeltainProduction,Virtual,Databases
Unified Governance with Unity Catalog,05/29/2026,02:00 PM,05/29/2026,03:30 PM,False,Using Unity Catalog you'll learn how it can work with your existing data catalogs and storage solutions to build a future-proof governance model. We will demonstrate the changes that come with UC and how you can upgrade your tables to include these benefits. Duration: 1.5 hrs.,https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-UnifiedGovernancewithUC,Virtual,Governance
End-to-End AI on Databricks,06/02/2026,02:00 PM,06/02/2026,03:30 PM,False,"Walk through an end-to-end AI agent solution on Databricks. Build AI Agents with foundation LLMs, RAG, Vector Search, and PDF extraction using Unity Catalog functions, LangChain, and Databricks' built-in ai_parse_document function. Deploy real-time Q&A chatbots, evaluate agents with Mosaic AI Agent Evaluation and MLflow 3.0, and monitor live production behavior. Presenters: Rupal Gupta (Sr. Solutions Engineer) and Bhagyarshri Badgujar (Solutions Architect). Duration: 1.5 hrs.",https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-End-to-EndAI,Virtual,Machine Learning
"Lakebase: Serverless Postgres Database",06/05/2026,02:00 PM,06/05/2026,03:30 PM,False,"Lakebase is a fully managed, serverless, scalable, and resilient Postgres database that offers low-latency reads and writes, unlocking operational and transactional use cases for Databricks customers. Duration: 1.5 hrs.",https://events.databricks.com/FY26-EV-AEB-Hands-onWorkshop-DeltainProduction,Virtual,Databases
Databricks Apps,06/08/2026,02:00 PM,06/08/2026,03:30 PM,False,"This workshop will guide participants through the core concepts of Databricks Apps, hands-on development with familiar frameworks, and best practices for deploying governed, production-ready applications—so your apps can run where your data and AI already live. Duration: 1.5 hrs.",https://events.databricks.com/FY260527-TR-EmbeddedAnalyticswithDatabricksAIBI,Virtual,Development
Unified Governance with Unity Catalog,06/12/2026,02:00 PM,06/12/2026,03:30 PM,False,Using Unity Catalog you'll learn how it can work with your existing data catalogs and storage solutions to build a future-proof governance model. We will demonstrate the changes that come with UC and how you can upgrade your tables to include these benefits. Duration: 1.5 hrs.,https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-UnifiedGovernancewithUC,Virtual,Governance
Databricks Apps,06/22/2026,02:00 PM,06/22/2026,03:30 PM,False,"This workshop will guide participants through the core concepts of Databricks Apps, hands-on development with familiar frameworks, and best practices for deploying governed, production-ready applications—so your apps can run where your data and AI already live. Duration: 1.5 hrs.",https://events.databricks.com/FY260527-TR-EmbeddedAnalyticswithDatabricksAIBI,Virtual,Development
Unified Governance with Unity Catalog,06/26/2026,02:00 PM,06/26/2026,03:30 PM,False,Using Unity Catalog you'll learn how it can work with your existing data catalogs and storage solutions to build a future-proof governance model. We will demonstrate the changes that come with UC and how you can upgrade your tables to include these benefits. Duration: 1.5 hrs.,https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-UnifiedGovernancewithUC,Virtual,Governance
End-to-End AI on Databricks,06/30/2026,02:00 PM,06/30/2026,03:30 PM,False,"Walk through an end-to-end AI agent solution on Databricks. Build AI Agents with foundation LLMs, RAG, Vector Search, and PDF extraction using Unity Catalog functions, LangChain, and Databricks' built-in ai_parse_document function. Deploy real-time Q&A chatbots, evaluate agents with Mosaic AI Agent Evaluation and MLflow 3.0, and monitor live production behavior. Presenters: Rupal Gupta (Sr. Solutions Engineer) and Bhagyarshri Badgujar (Solutions Architect). Duration: 1.5 hrs.",https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-End-to-EndAI,Virtual,Machine Learning
Databricks Apps,07/06/2026,02:00 PM,07/06/2026,03:30 PM,False,"This workshop will guide participants through the core concepts of Databricks Apps, hands-on development with familiar frameworks, and best practices for deploying governed, production-ready applications—so your apps can run where your data and AI already live. Duration: 1.5 hrs.",https://events.databricks.com/FY260527-TR-EmbeddedAnalyticswithDatabricksAIBI,Virtual,Development
Unified Governance with Unity Catalog,07/10/2026,02:00 PM,07/10/2026,03:30 PM,False,Using Unity Catalog you'll learn how it can work with your existing data catalogs and storage solutions to build a future-proof governance model. We will demonstrate the changes that come with UC and how you can upgrade your tables to include these benefits. Duration: 1.5 hrs.,https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-UnifiedGovernancewithUC,Virtual,Governance
End-to-End AI on Databricks,07/14/2026,02:00 PM,07/14/2026,03:30 PM,False,"Walk through an end-to-end AI agent solution on Databricks. Build AI Agents with foundation LLMs, RAG, Vector Search, and PDF extraction using Unity Catalog functions, LangChain, and Databricks' built-in ai_parse_document function. Deploy real-time Q&A chatbots, evaluate agents with Mosaic AI Agent Evaluation and MLflow 3.0, and monitor live production behavior. Presenters: Rupal Gupta (Sr. Solutions Engineer) and Bhagyarshri Badgujar (Solutions Architect). Duration: 1.5 hrs.",https://events.databricks.com/FY26-EV-AEB-Hands-on-Workshop-End-to-EndAI,Virtual,Machine Learning
"Lakebase: Serverless Postgres Database",07/17/2026,02:00 PM,07/17/2026,03:30 PM,False,"Lakebase is a fully managed, serverless, scalable, and resilient Postgres database that offers low-latency reads and writes, unlocking operational and transactional use cases for Databricks customers. Duration: 1.5 hrs.",https://events.databricks.com/FY26-EV-AEB-Hands-onWorkshop-DeltainProduction,Virtual,Databases
Databricks Apps,07/20/2026,02:00 PM,07/20/2026,03:30 PM,False,"This workshop will guide participants through the core concepts of Databricks Apps, hands-on development with familiar frameworks, and best practices for deploying governed, production-ready applications—so your apps can run where your data and AI already live. Duration: 1.5 hrs.",https://events.databricks.com/FY260527-TR-EmbeddedAnalyticswithDatabricksAIBI,Virtual,Development
